fighter_1,fighter_1_odds,fighter_2,fighter_2_odds,fighter_bout_id

Christian Carto,−3000,Carlos Buitrago,+1400,30796426
Javier Zamarron,−800,Michael Bracamontes,+550,30787755
Art Barrera Jr,−2500,Javier Mayoral,+1300,30787752
Jonathan Lopez,−1200,Leonardo Padilla,+700,30787756
Christopher Diaz,−1200,Derlyn Hernandez,+700,30796425
Charlie Sheehy,−1000,Ricardo Quiroz,+600,30787753
Khalil Coe,−3000,Kwame Ritter,+1400,30794647
Skye Nicolson,−3000,Dyana Vargas,+1400,30787758
Ruben Villa,−1600,Sulaiman Segawa,+900,30787757
Jalil Hackett,−800,Peter Dobson,+500,30787754
Raymond Muratalla,−1000,Tevin Farmer,+600,30787759
Jaron Ennis,−2500,David Avanesyan,+1200,30695733
Chantelle Cameron,−1400,Elhem Mekhaled,+700,30672242
Ashley Lane,+850,Andrew Cain,−2000,30672243
Liam Davies,−260,Shabaz Masoud,+200,30672240
Solomon Dacres,+175,David Adeleye,−225,30672241
Nathan Heaney,−200,Brad Pauls,+155,30672224
Jake Paul,−340,Mike Perry,+250,30721461
Joe Joyce,−400,Derek Chisora,+295,30721453
Claressa Shields,−3000,Vanessa Lepage Joanisse,+1000,30692826
Andy Ruiz,−350,Jarrell Miller,+260,30519498
David Morrell,−4000,Radivoje Kalajdzic,+1100,30519497
Andy Cruz,−2500,Antonio Moran,+900,30519499
Jared Anderson,−195,Martin Bakole,+155,30692834
Isaac Cruz,−400,Jose Valenzuela,+290,30504340
Israil Madrimov,+400,Terence Crawford,−600,30504339
Christian Mbilli,−400,Sergiy Derevyanchenko,+290,30747675
Tyler Denny,+450,Hamzah Sheeraz,−700,30747679
Anthony Cacace,−280,Josh Warrington,+215,30747678
Liam Smith,−165,Josh Kelly,+130,30747676
Mark Chamberlain,−3000,Josh Padley,+1000,30747680
Joshua Buatsi,−255,Willy Hutchinson,+195,30747677
Daniel Dubois,+380,Anthony Joshua,−550,30742077
Katie Taylor,−155,Amanda Serrano,+120,30689348
Oleksandr Usyk,−175,Tyson Fury,+140,30620780
